Noun,Distance,Concord
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,5,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,6,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,5,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,7,singular
government,3,singular
government,7,singular
government,7,singular
government,9,singular
government,7,singular
government,2,singular
government,7,singular
government,7,singular
government,7,singular
government,6,singular
government,7,singular
government,8,singular
government,7,singular
government,8,singular
government,9,singular
government,8,singular
government,1,singular
government,7,singular
government,7,singular
government,7,singular
government,3,singular
government,8,singular
government,8,singular
government,7,singular
government,8,singular
government,8,singular
government,1,singular
government,8,singular
government,10,singular
government,7,singular
government,8,singular
government,8,singular
government,7,singular
government,8,singular
government,5,singular
government,8,singular
government,8,singular
government,8,singular
government,8,singular
government,8,singular
government,3,singular
government,8,singular
government,8,singular
government,8,singular
government,8,singular
government,8,singular
government,8,singular
government,6,singular
government,5,singular
government,8,singular
government,4,singular
government,1,singular
government,6,singular
government,8,singular
government,8,singular
government,4,singular
government,8,singular
government,8,singular
government,8,singular
government,9,singular
government,8,singular
government,8,singular
government,8,singular
government,6,singular
government,1,singular
government,8,singular
government,8,singular
government,3,singular
government,8,singular
government,8,singular
government,2,singular
government,9,singular
government,9,singular
government,9,singular
government,9,singular
government,4,singular
government,5,singular
government,2,singular
government,2,singular
government,2,singular
government,7,singular
government,7,singular
government,8,singular
government,9,singular
government,9,singular
government,9,singular
government,4,singular
government,9,singular
government,9,singular
government,9,singular
government,7,singular
government,9,singular
government,9,singular
government,9,singular
government,9,singular
government,4,singular
government,9,singular
government,10,singular
government,10,singular
government,10,singular
government,10,singular
government,10,singular
government,3,singular
government,10,singular
government,2,singular
government,2,singular
government,10,singular
government,2,singular
government,3,singular
government,8,singular
government,1,singular
government,1,singular
government,1,singular
government,3,singular
government,1,singular 
government,1,singular 
government,1,singular 
government,1,singular 
government,2,singular 
government,2,singular 
government,2,singular 
government,2,singular 
government,2,singular 
government,3,singular 
government,3,singular 
government,4,singular 
government,4,singular 
government,4,singular 
government,5,singular 
government,5,singular 
government,6,singular 
government,7,singular 
government,7,singular 
government,7,singular 
government,7,singular 
government,8,singular 
government,8,singular 
government,8,singular 
government,9,singular 
government,10,singular 
government,10,singular 
